station,x_m,y_m,z_m
2,0.2325,0.0354,-0.0000
2,0.2325,0.0426,0.0599
2,0.2325,0.0498,0.1197
2,0.2325,0.0571,0.1796
2,0.2325,0.0643,0.2395
2,0.2325,0.0715,0.2993
2,0.2325,0.0787,0.3592
2,0.2325,0.0860,0.4191
2,0.2325,0.0932,0.4790
2,0.2325,0.1004,0.5388
2,0.2325,0.1077,0.5987
2,0.2325,0.1149,0.6586
2,0.2325,0.1221,0.7184
3,0.5177,-0.1759,0.7441
3,0.5177,-0.1684,0.6821
3,0.5177,-0.1608,0.6201
3,0.5177,-0.1533,0.5581
3,0.5177,-0.1458,0.4961
3,0.5177,-0.1382,0.4341
3,0.5177,-0.1307,0.3721
3,0.5177,-0.1232,0.3101
3,0.5177,-0.1157,0.2480
3,0.5177,-0.1081,0.1860
3,0.5177,-0.1006,0.1240
3,0.5177,-0.0931,0.0620
3,0.5177,-0.0855,-0.0000
3,0.5177,-0.0855,-0.0091
3,0.5177,-0.0853,-0.0182
3,0.5177,-0.0849,-0.0273
3,0.5177,-0.0844,-0.0364
3,0.5177,-0.0838,-0.0454
3,0.5177,-0.0831,-0.0543
3,0.5177,-0.0822,-0.0631
3,0.5177,-0.0811,-0.0718
3,0.5177,-0.0800,-0.0804
3,0.5177,-0.0787,-0.0889
3,0.5177,-0.0773,-0.0972
3,0.5177,-0.0757,-0.1054
3,0.5177,-0.0741,-0.1134
3,0.5177,-0.0723,-0.1212
3,0.5177,-0.0704,-0.1288
3,0.5177,-0.0684,-0.1362
3,0.5177,-0.0663,-0.1434
3,0.5177,-0.0640,-0.1504
3,0.5177,-0.0617,-0.1571
3,0.5177,-0.0593,-0.1636
3,0.5177,-0.0567,-0.1697
3,0.5177,-0.0541,-0.1756
3,0.5177,-0.0514,-0.1813
3,0.5177,-0.0486,-0.1866
3,0.5177,-0.0457,-0.1916
3,0.5177,-0.0428,-0.1963
3,0.5177,-0.0398,-0.2007
3,0.5177,-0.0367,-0.2048
3,0.5177,-0.0335,-0.2085
3,0.5177,-0.0303,-0.2119
3,0.5177,-0.0271,-0.2150
3,0.5177,-0.0238,-0.2177
3,0.5177,-0.0205,-0.2201
3,0.5177,-0.0171,-0.2221
3,0.5177,-0.0137,-0.2237
3,0.5177,-0.0103,-0.2250
3,0.5177,-0.0069,-0.2259
3,0.5177,-0.0034,-0.2265
3,0.5177,-0.0000,-0.2267
3,0.5177,0.0034,-0.2265
3,0.5177,0.0069,-0.2259
3,0.5177,0.0103,-0.2250
3,0.5177,0.0137,-0.2237
3,0.5177,0.0171,-0.2221
3,0.5177,0.0205,-0.2201
3,0.5177,0.0238,-0.2177
3,0.5177,0.0271,-0.2150
3,0.5177,0.0303,-0.2119
